I%M/ˆ`<æ=a>iié\md¸a§=¬	LœÁKHþtemp,light,hum
21.60,16.67,67.50
21.60,16.67,67.50
21.60,16.67,67.50
21.60,16.67,67.50
21.60,16.67,67.50
21.60,20.00,67.50
21.60,20.00,67.50
21.60,20.00,67.50
21.60,16.67,67.50
21.60,16.67,71.90
21.60,20.00,71.90
21.60,16.67,71.90
21.60,20.00,71.90
21.60,16.67,71.90
21.60,16.67,71.90
21.60,16.67,71.90
21.60,20.00,71.90
21.60,20.00,71.90
21.80,20.00,69.50
21.80,13.33,69.50
21.80,20.00,69.50
21.80,16.67,69.50
21.80,16.67,69.50
21.80,20.00,69.50
21.80,16.67,69.50
21.80,20.00,69.50
21.80,20.00,69.20
21.80,16.67,69.20
21.80,20.00,69.20
21.80,16.67,69.20
21.80,20.00,69.20
21.80,16.67,69.20
21.80,20.00,69.20
21.80,16.67,69.20
21.80,16.67,69.20
21.80,20.00,67.60
21.80,23.33,67.60
21.80,16.67,67.60
21.80,20.00,67.60
21.80,20.00,67.60
21.80,20.00,67.60
21.80,20.00,67.60
21.80,16.67,67.60
21.90,16.67,71.00
21.90,16.67,71.00
21.90,20.00,71.00
21.90,16.67,71.00
21.90,20.00,71.00
21.90,16.67,71.00
21.90,16.67,71.00
21.90,16.67,71.00
21.90,13.33,71.00
22.00,20.00,67.00
22.00,20.00,67.00
22.00,16.67,67.00
22.00,20.00,67.00
22.00,20.00,67.00
22.00,20.00,67.00
22.00,16.67,67.00
22.00,20.00,67.00
21.80,20.00,70.70
21.80,16.67,70.70
21.80,20.00,70.70
21.80,20.00,70.70
21.80,16.67,70.70
21.80,16.67,70.70
21.80,20.00,70.70
21.80,20.00,70.70
21.80,16.67,70.70
21.90,16.67,70.50
21.90,16.67,70.50
21.90,20.00,70.50
21.90,20.00,70.50
21.90,16.67,70.50
21.90,20.00,70.50
21.90,16.67,70.50
21.90,20.00,70.50
21.60,20.00,71.10
21.60,13.33,71.10
21.60,13.33,71.10
21.60,20.00,71.10
21.60,16.67,71.10
21.60,20.00,71.10
21.60,13.33,71.10
21.60,13.33,71.10
21.60,16.67,71.10
22.00,20.00,69.50
22.00,16.67,69.50
22.00,20.00,69.50
22.00,16.67,69.50
22.00,16.67,69.50
22.00,16.67,69.50
22.00,16.67,69.50
22.00,16.67,69.50
22.00,13.33,69.50
21.80,20.00,66.60
21.80,16.67,66.60
21.80,13.33,66.60
21.80,20.00,66.60
21.80,13.33,66.60
21.80,20.00,66.60
21.80,16.67,66.60
21.80,20.00,66.60
21.80,16.67,71.40
21.80,20.00,71.40
21.80,13.33,71.40
21.80,20.00,71.40
21.80,16.67,71.40
21.80,13.33,71.40
21.80,13.33,71.40
21.80,20.00,71.40
21.80,13.33,71.40
21.80,20.00,72.90
21.80,16.67,72.90
21.80,13.33,72.90
21.80,20.00,72.90
21.80,20.00,72.90
21.80,13.33,72.90
21.80,16.67,72.90
21.80,10.00,72.90
21.70,13.33,71.60
21.70,13.33,71.60
21.70,13.33,71.60
21.70,13.33,71.60
21.70,20.00,71.60
21.70,20.00,71.60
21.70,26.67,71.60
21.70,23.33,71.60
21.70,20.00,71.60
21.70,20.00,71.80
21.70,23.33,71.80
21.70,20.00,71.80
21.70,23.33,71.80
21.70,23.33,71.80
21.70,26.67,71.80
21.70,23.33,71.80
21.70,23.33,71.80
21.60,23.33,70.30
21.60,23.33,70.30
21.60,23.33,70.30
21.60,20.00,70.30
21.60,23.33,70.30
21.60,20.00,70.30
21.60,23.33,70.30
21.60,23.33,70.30
21.60,23.33,70.30
21.80,20.00,69.70
21.80,20.00,69.70
21.80,20.00,69.70
21.80,23.33,69.70
21.80,23.33,69.70
21.80,23.33,69.70
21.80,23.33,69.70
21.80,23.33,69.70
21.70,23.33,70.60
21.70,23.33,70.60
21.70,26.67,70.60
21.70,23.33,70.60
21.70,23.33,70.60
21.70,23.33,70.60
21.70,23.33,70.60
21.70,23.33,70.60
21.70,23.33,70.60
21.80,23.33,72.50
21.80,16.67,72.50
21.80,23.33,72.50
21.80,16.67,72.50
21.80,20.00,72.50
21.80,16.67,72.50
21.80,23.33,72.50
21.80,23.33,72.50
21.90,23.33,71.50
21.90,23.33,71.50
21.90,23.33,71.50
21.90,23.33,71.50
21.90,23.33,71.50
21.90,23.33,71.50
21.90,23.33,71.50
21.90,20.00,71.50
21.90,23.33,71.50
21.50,20.00,71.90
21.50,23.33,71.90
21.50,23.33,71.90
21.50,23.33,71.90
21.50,20.00,71.90
21.50,16.67,71.90
21.50,23.33,71.90
21.50,23.33,71.90
21.50,20.00,65.40
21.90,23.33,65.40
21.90,20.00,65.40
21.90,20.00,65.40
21.90,20.00,65.40
21.90,23.33,65.40
21.90,23.33,65.40
21.90,20.00,65.40
21.90,23.33,65.40
21.90,23.33,70.50
21.90,23.33,70.50
21.90,20.00,70.50
21.90,20.00,70.50
21.90,20.00,70.50
21.90,20.00,70.50
21.90,23.33,70.50
21.90,23.33,70.50
21.90,20.00,70.50
21.70,23.33,69.80
21.70,20.00,69.80
21.70,23.33,69.80
21.70,23.33,69.80
21.70,20.00,69.80
21.70,20.00,69.80
21.70,23.33,69.80
21.70,20.00,69.80
21.70,23.33,73.10
21.70,20.00,73.10
21.70,20.00,73.10
21.70,20.00,73.10
21.70,23.33,73.10
21.70,23.33,73.10
21.70,23.33,73.10
21.70,23.33,73.10
21.70,20.00,73.10
22.00,20.00,70.80
22.00,23.33,70.80
22.00,20.00,70.80
22.00,23.33,70.80
22.00,23.33,70.80
22.00,20.00,70.80
22.00,20.00,70.80
22.00,23.33,70.80
22.00,20.00,71.60
22.00,20.00,71.60
22.00,16.67,71.60
22.00,26.67,71.60
22.00,20.00,71.60
22.00,20.00,71.60
22.00,23.33,71.60
22.00,20.00,71.60
22.00,23.33,71.60
22.10,20.00,69.70
22.10,20.00,69.70
22.10,20.00,69.70
22.10,20.00,69.70
22.10,20.00,69.70
22.10,23.33,69.70
22.10,23.33,69.70
22.10,23.33,69.70
21.70,23.33,72.70
21.70,20.00,72.70
21.70,23.33,72.70
21.70,16.67,72.70
21.70,20.00,72.70
21.70,23.33,72.70
21.70,20.00,72.70
21.70,23.33,72.70
21.70,20.00,72.70
21.90,23.33,70.30
21.90,23.33,70.30
21.90,23.33,70.30
21.90,20.00,70.30
21.90,20.00,70.30
21.90,20.00,70.30
21.90,20.00,70.30
21.90,20.00,70.30
22.00,20.00,67.90
22.00,16.67,67.90
22.00,16.67,67.90
22.00,23.33,67.90
22.00,23.33,67.90
22.00,20.00,67.90
22.00,20.00,67.90
22.00,20.00,67.90
22.00,23.33,67.90
21.70,16.67,71.20
21.70,23.33,71.20
21.70,20.00,71.20
21.70,20.00,71.20
21.70,20.00,71.20
21.70,23.33,71.20
21.70,20.00,71.20
21.70,23.33,71.20
22.00,20.00,65.10
22.00,16.67,65.10
22.00,23.33,65.10
22.00,20.00,65.10
22.00,20.00,65.10
22.00,23.33,65.10
22.00,20.00,65.10
22.00,23.33,65.10
22.00,16.67,65.10
22.00,16.67,70.40
22.00,23.33,70.40
22.00,20.00,70.40
22.00,23.33,70.40
22.00,20.00,70.40
22.00,23.33,70.40
22.00,20.00,70.40
22.00,20.00,70.40
22.00,16.67,70.40
22.00,23.33,68.10
22.00,16.67,68.10
22.00,20.00,68.10
22.00,23.33,68.10
22.00,20.00,68.10
22.00,20.00,68.10
22.00,23.33,68.10
22.00,23.33,68.10
21.90,20.00,71.00
21.90,20.00,71.00
21.90,20.00,71.00
21.90,20.00,71.00
21.90,20.00,71.00
21.90,20.00,71.00
21.90,23.33,71.00
21.90,23.33,71.00
21.90,20.00,71.00
21.90,20.00,68.70
21.90,23.33,68.70
21.90,20.00,68.70
21.90,16.67,68.70
21.90,20.00,68.70
21.90,20.00,68.70
21.90,16.67,68.70
21.90,16.67,68.70
22.10,20.00,70.60
22.10,23.33,70.60
22.10,16.67,70.60
22.10,16.67,70.60
22.10,20.00,70.60
22.10,20.00,70.60
22.10,20.00,70.60
22.10,20.00,70.60
22.10,20.00,70.60
21.60,16.67,69.80
21.60,16.67,69.80
21.60,20.00,69.80
21.60,16.67,69.80
21.60,20.00,69.80
21.60,23.33,69.80
21.60,20.00,69.80
21.60,23.33,69.80
21.80,16.67,69.60
21.80,16.67,69.60
21.80,20.00,69.60
21.80,16.67,69.60
21.80,23.33,69.60
21.80,20.00,69.60
21.80,20.00,69.60
21.80,20.00,69.60
21.80,20.00,69.60
21.80,20.00,72.30
21.80,20.00,72.30
21.80,20.00,72.30
21.80,23.33,72.30
21.80,16.67,72.30
21.80,16.67,72.30
21.80,20.00,72.30
21.80,20.00,72.30
22.10,16.67,71.00
22.10,20.00,71.00
22.10,23.33,71.00
22.10,20.00,71.00
22.10,20.00,71.00
22.10,16.67,71.00
22.10,16.67,71.00
22.10,23.33,71.00
22.10,23.33,71.00
21.70,16.67,72.50
21.70,13.33,72.50
21.70,20.00,72.50
21.70,16.67,72.50
21.70,20.00,72.50
21.70,23.33,72.50
21.70,20.00,72.50
21.70,20.00,72.50
21.90,13.33,65.00
21.90,20.00,65.00
21.90,20.00,65.00
21.90,20.00,65.00
21.90,20.00,65.00
21.90,16.67,65.00
21.90,20.00,65.00
21.90,20.00,65.00
21.90,20.00,65.00
22.00,20.00,69.30
22.00,20.00,69.30
22.00,20.00,69.30
22.00,20.00,69.30
22.00,20.00,69.30
22.00,20.00,69.30
22.00,20.00,69.30
22.00,20.00,69.30
22.00,20.00,69.30
22.20,20.00,68.10
22.20,16.67,68.10
22.20,16.67,68.10
22.20,20.00,68.10
22.20,20.00,68.10
22.20,16.67,68.10
22.20,16.67,68.10
22.20,16.67,68.10
22.00,20.00,69.10
22.00,20.00,69.10
22.00,16.67,69.10
22.00,13.33,69.10
22.00,20.00,69.10
22.00,16.67,69.10
22.00,20.00,69.10
22.00,20.00,69.10
22.00,20.00,69.10
22.10,16.67,71.10
22.10,16.67,71.10
22.10,13.33,71.10
22.10,20.00,71.10
22.10,20.00,71.10
22.10,16.67,71.10
22.10,20.00,71.10
22.10,20.00,71.10
22.30,16.67,73.00
22.30,20.00,73.00
22.30,20.00,73.00
22.30,13.33,73.00
22.30,20.00,73.00
22.30,16.67,73.00
22.30,13.33,73.00
22.30,16.67,73.00
22.30,20.00,73.00
22.10,20.00,69.90
22.10,20.00,69.90
22.10,16.67,69.90
22.10,20.00,69.90
22.10,16.67,69.90
22.10,16.67,69.90
22.10,13.33,69.90
22.10,13.33,69.90
22.20,23.33,70.10
22.20,16.67,70.10
22.20,16.67,70.10
22.20,20.00,70.10
22.20,16.67,70.10
22.20,20.00,70.10
22.20,16.67,70.10
22.20,23.33,70.10
22.20,20.00,70.10
22.10,16.67,69.20
22.10,16.67,69.20
22.10,16.67,69.20
22.10,13.33,69.20
22.10,16.67,69.20
22.10,16.67,69.20
22.10,13.33,69.20
22.10,20.00,69.20
22.10,20.00,69.10
22.10,13.33,69.10
22.10,20.00,69.10
22.10,16.67,69.10
22.10,16.67,69.10
22.10,16.67,69.10
22.10,20.00,69.10
22.10,16.67,69.10
22.10,20.00,69.10
22.00,20.00,69.80
22.00,20.00,69.80
22.00,20.00,69.80
22.00,16.67,69.80
22.00,13.33,69.80
22.00,16.67,69.80
22.00,16.67,69.80
22.00,16.67,69.80
21.80,16.67,67.60
21.80,16.67,67.60
21.80,20.00,67.60
21.80,20.00,67.60
21.80,13.33,67.60
21.80,13.33,67.60
21.80,20.00,67.60
21.80,16.67,67.60
21.80,16.67,67.60
21.80,16.67,69.90
21.80,20.00,69.90
21.80,16.67,69.90
21.80,13.33,69.90
21.80,13.33,69.90
21.80,13.33,69.90
21.80,16.67,69.90
21.80,20.00,69.90
21.80,20.00,69.90
21.90,16.67,72.20
21.90,13.33,72.20
21.90,13.33,72.20
21.90,16.67,72.20
21.90,20.00,72.20
21.90,20.00,72.20
21.90,16.67,72.20
21.90,20.00,72.20
22.30,20.00,70.80
22.30,20.00,70.80
22.30,20.00,70.80
22.30,20.00,70.80
22.30,16.67,70.80
22.30,20.00,70.80
22.30,13.33,70.80
22.30,16.67,70.80
22.30,20.00,70.80
22.30,13.33,71.00
22.30,16.67,71.00
22.30,20.00,71.00
22.30,13.33,71.00
22.30,20.00,71.00
22.30,16.67,71.00
22.30,16.67,71.00
22.30,16.67,71.00
22.10,16.67,69.80
22.10,13.33,69.80
22.10,20.00,69.80
22.10,16.67,69.80
22.10,16.67,69.80
22.10,13.33,69.80
22.10,16.67,69.80
22.10,16.67,69.80
22.10,20.00,69.80
22.10,16.67,70.20
22.10,13.33,70.20
22.10,13.33,70.20
22.10,13.33,70.20
22.10,13.33,70.20
22.10,13.33,70.20
22.10,13.33,70.20
22.10,13.33,70.20
21.90,20.00,72.90
21.90,13.33,72.90
21.90,13.33,72.90
21.90,16.67,72.90
21.90,16.67,72.90
21.90,16.67,72.90
21.90,16.67,72.90
21.90,13.33,72.90
21.90,20.00,72.90
21.80,20.00,71.10
21.80,16.67,71.10
21.80,13.33,71.10
21.80,16.67,71.10
21.80,13.33,71.10
21.80,16.67,71.10
21.80,16.67,71.10
21.80,16.67,71.10
22.20,20.00,67.60
22.20,20.00,67.60
22.20,16.67,67.60
22.20,16.67,67.60
22.20,16.67,67.60
22.20,16.67,67.60
22.20,16.67,67.60
22.20,13.33,67.60
22.20,13.33,67.60
22.30,16.67,70.60
22.30,16.67,70.60
22.30,16.67,70.60
22.30,16.67,70.60
22.30,13.33,70.60
22.30,13.33,70.60
22.30,13.33,70.60
22.30,16.67,70.60
22.30,16.67,70.60
21.90,16.67,70.10
21.90,16.67,70.10
21.90,16.67,70.10
21.90,16.67,70.10
21.90,13.33,70.10
21.90,13.33,70.10
21.90,16.67,70.10
21.90,13.33,70.10
22.20,13.33,71.20
22.20,16.67,71.20
22.20,16.67,71.20
22.20,13.33,71.20
22.20,13.33,71.20
22.20,16.67,71.20
22.20,13.33,71.20
22.20,13.33,71.20
22.20,13.33,71.20
21.90,20.00,67.10
21.90,13.33,67.10
21.90,13.33,67.10
21.90,16.67,67.10
21.90,16.67,67.10
21.90,16.67,67.10
21.90,16.67,67.10
21.90,16.67,67.10
22.40,16.67,68.30
22.40,16.67,68.30
22.40,16.67,68.30
22.40,13.33,68.30
22.40,16.67,68.30
22.40,20.00,68.30
22.40,13.33,68.30
22.40,20.00,68.30
22.40,16.67,68.30
22.20,13.33,69.90
22.20,13.33,69.90
22.20,16.67,69.90
22.20,13.33,69.90
22.20,16.67,69.90
22.20,13.33,69.90
22.20,16.67,69.90
22.20,16.67,69.90
22.00,20.00,68.20
22.00,16.67,68.20
22.00,16.67,68.20
22.00,16.67,68.20
22.00,16.67,68.20
22.00,16.67,68.20
22.00,20.00,68.20
22.00,20.00,68.20
22.00,16.67,68.20
22.20,13.33,69.00
22.20,10.00,69.00
22.20,13.33,69.00
22.20,13.33,69.00
22.20,16.67,69.00
22.20,10.00,69.00
22.20,16.67,69.00
22.20,16.67,69.00
22.20,13.33,67.70
22.20,13.33,67.70
22.20,16.67,67.70
22.20,16.67,67.70
22.20,13.33,67.70
22.20,16.67,67.70
22.20,13.33,67.70
22.20,10.00,67.70
22.20,16.67,67.70
22.10,16.67,70.00
22.10,13.33,70.00
22.10,13.33,70.00
22.10,13.33,70.00
22.10,10.00,70.00
22.10,16.67,70.00
22.10,10.00,70.00
22.10,20.00,70.00
22.10,13.33,70.00
22.00,16.67,70.80
22.00,16.67,70.80
22.00,10.00,70.80
22.00,13.33,70.80
22.00,16.67,70.80
22.00,13.33,70.80
22.00,16.67,70.80
22.00,16.67,70.80
22.40,10.00,72.90
22.40,16.67,72.90
22.40,16.67,72.90
22.40,13.33,72.90
22.40,16.67,72.90
22.40,13.33,72.90
22.40,10.00,72.90
22.40,16.67,72.90
22.40,13.33,72.90
22.00,10.00,70.30
22.00,13.33,70.30
22.00,13.33,70.30
22.00,16.67,70.30
22.00,13.33,70.30
22.00,10.00,70.30
22.00,16.67,70.30
22.00,13.33,70.30
22.00,16.67,69.50
22.00,16.67,69.50
22.00,13.33,69.50
22.00,13.33,69.50
22.00,13.33,69.50
22.00,16.67,69.50
22.00,13.33,69.50
22.00,13.33,69.50
22.00,16.67,69.50
22.40,16.67,68.20
22.40,13.33,68.20
22.40,16.67,68.20
22.40,13.33,68.20
22.40,13.33,68.20
22.40,13.33,68.20
22.40,16.67,68.20
22.40,13.33,68.20
22.20,13.33,71.60
22.20,10.00,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.20,16.67,71.60
22.20,16.67,71.60
22.20,13.33,71.60
22.40,16.67,70.80
22.40,13.33,70.80
22.40,10.00,70.80
22.40,13.33,70.80
22.40,16.67,70.80
22.40,20.00,70.80
22.40,13.33,70.80
22.40,13.33,70.80
21.90,13.33,67.20
21.90,16.67,67.20
21.90,13.33,67.20
21.90,10.00,67.20
21.90,10.00,67.20
21.90,10.00,67.20
21.90,16.67,67.20
21.90,13.33,67.20
21.90,10.00,67.20
22.20,13.33,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.20,10.00,71.60
22.20,13.33,71.60
22.20,10.00,71.60
22.20,10.00,71.60
22.10,16.67,69.90
22.10,13.33,69.90
22.10,16.67,69.90
22.10,16.67,69.90
22.10,13.33,69.90
22.10,10.00,69.90
22.10,16.67,69.90
22.10,13.33,69.90
22.30,10.00,70.80
22.30,16.67,70.80
22.30,13.33,70.80
22.30,16.67,70.80
22.30,10.00,70.80
22.30,13.33,70.80
22.30,16.67,70.80
22.30,16.67,70.80
22.30,10.00,70.80
22.20,16.67,71.60
22.20,10.00,71.60
22.20,16.67,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.20,10.00,71.60
22.20,13.33,71.60
22.20,13.33,71.60
22.10,10.00,71.30
22.10,16.67,71.30
22.10,10.00,71.30
22.10,13.33,71.30
22.10,10.00,71.30
22.10,16.67,71.30
22.10,13.33,71.30
22.10,13.33,71.30
22.10,10.00,71.30
22.20,13.33,68.60
22.20,16.67,68.60
22.20,13.33,68.60
22.20,13.33,68.60
22.20,13.33,68.60
22.20,16.67,68.60
22.20,13.33,68.60
22.20,16.67,68.60
22.60,13.33,69.30
22.60,10.00,69.30
22.60,13.33,69.30
22.60,13.33,69.30
22.60,13.33,69.30
22.60,10.00,69.30
22.60,10.00,69.30
22.60,10.00,69.30
22.60,13.33,69.30
22.40,10.00,71.40
22.40,13.33,71.40
22.40,13.33,71.40
22.40,13.33,71.40
